transaction_id,product_id,sku,supplier_name,sale_date,revenue_gross_usd,vendor_payout_usd,transaction_fee_usd,affiliate_commission_usd,status,promo_id,bundle_name
TXN-001,PID-042,SKU-042-AD,Anchor Distributors,2024-03-15,100.0,74.4,5.0,2.0,COMPLETE,,
TXN-002,PID-042,SKU-042-AD,Anchor Distributors,2024-04-20,120.0,91.2,6.0,0.0,COMPLETE,,
TXN-003,PID-042,SKU-042-AD,Anchor Distributors,2024-08-10,150.0,114.0,7.5,0.0,COMPLETE,,
TXN-100,PID-107,SKU-107-BL,BayLine Distributors,2024-03-15,90.0,58.59,4.5,1.8,COMPLETE,,
TXN-101,PID-107,SKU-107-BL,BayLine Distributors,2024-05-30,110.0,73.15,5.5,0.0,COMPLETE,,
TXN-102,PID-107,SKU-107-BL,BayLine Distributors,2024-06-15,130.0,86.45,6.5,0.0,COMPLETE,,
TXN-103,PID-107,SKU-107-BL,BayLine Distributors,2024-08-01,100.0,66.5,5.0,0.0,COMPLETE,,
TXN-234A,PID-234,SKU-234-HD,Heartland Distributors,2024-03-01,50.0,34.875,2.5,1.0,COMPLETE,,
TXN-234B,PID-234,SKU-234-HD,Heartland Distributors,2024-05-01,60.0,42.75,3.0,0.0,COMPLETE,,
TXN-234C,PID-234,SKU-234-HD,Heartland Distributors,2024-07-01,55.0,39.1875,2.75,0.0,COMPLETE,,
TXN-311A,PID-311,SKU-311-AD,Anchor Distributors,2024-03-01,40.0,29.76,2.0,0.8,COMPLETE,,
TXN-311B,PID-311,SKU-311-AD,Anchor Distributors,2024-05-15,45.0,34.2,2.25,0.0,COMPLETE,,
TXN-050A,PID-050,SKU-050-AD,Anchor Distributors,2024-05-01,80.0,57.0,4.0,0.0,COMPLETE,,
TXN-102A,PID-102,SKU-102-HD,Heartland Distributors,2024-06-01,200.0,111.6,10.0,4.0,COMPLETE,,
